NAICS,Lat,Long,Emps
5617,39.723363,-105.13808,3
2382,39.815422,-105.15145,4
4542,39.686438,-104.93922,2
5312,39.7328,-104.89708,1
5511,39.637027,-104.82697,1
5614,39.688267,-104.88803,2
5312,39.682621,-104.93748,1
8121,39.75989,-105.01598,1
5416,39.750506,-104.99895,1
5323,39.795716,-104.84738,2
5611,39.852638,-105.14573,1
6213,39.614493,-104.88684,8
5223,39.618196,-105.02689,2
5311,39.636004,-105.13142,1
4511,39.812937,-105.12929,1
5313,39.8705,-104.9495,1
4541,39.66491,-104.9629,2
5121,39.608631,-105.03518,3
5415,39.619706,-104.90382,1
2381,39.630879,-105.13296,1
2361,39.822837,-105.11168,4
8111,39.824741,-105.03002,3
5415,39.690311,-105.12963,1
4441,39.688973,-105.07192,2
3327,39.656175,-105.00437,6
3339,39.790963,-105.06574,4
4232,39.705542,-104.98776,2
6216,39.824137,-104.98722,14
5611,39.633461,-104.99388,2
6116,39.648925,-105.05748,12
8141,39.736639,-104.96618,1
6211,39.702849,-104.91308,1
2361,39.796613,-104.98237,2
4841,39.793113,-105.15281,21
5223,39.746382,-104.98499,12
5613,39.781549,-105.1783,1
